Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
RMG-KBSUP,RMG6 RM Guttahalli,KBS123 Kempegowda Bus Station,2,2,100.0,8,8,100.0
ASK-NMGDN,BNMG Binnamangala Towads Nelamangala),NMG0 Nelamangala Bus Station,2,3,66.66667,181,232,78.01724
SBS-VPSUP,SBS0 Shivajinagara Bus Station,NLSB1 Neelasandra Bus Stand,4,5,80.0,54,91,59.34066
V-226SBSUP,SRSC Sirsi Circle,WNDRPRK Wonderla Amusement Park,4,4,100.0,1,1,100.0
KLN-OSTUP,BSP Babusabpalya (Towards Tin Factory),HRMU1 Horamavu,2,3,66.66667,1,2,50.0
BMBS-SMHDN,BMS Bande Maramma Bus Station,SMH5 Summanahalli,2,2,100.0,2,2,100.0
RTNP-NSHUP,HEBL Hebbala (Towards Nagashettyhalli),BOOOPS Bhoopasandra,2,3,66.66667,4,6,66.66667
DMR-D06UP,BOPBSTP Dhoopanahalli,DEPO6 Depot-06 Gate,2,2,100.0,1,1,100.0
SGH-KMLSUP,JBS4thB Jayanagara 4th Block,BSK Banashankari Bus Station (Towards Kadirenahalli),2,3,66.66667,2,3,66.66667
KDGB-JFWTCUP,HOFM Hope Farm (Towards ITPL),ITPL ITPL,2,2,100.0,1,1,100.0
TRP-KBSUP,JNHR Jn of Hosur Road,KBS123 Kempegowda Bus Station,5,14,35.714287,1,1,100.0
TVK-RMHUP,TVKR Tavarekere,GLGJH Gulaganjahalli,4,5,80.0,6,11,54.545456
NDRS-KBSUP,NDRGR CS-Nandidurga Road,KBS123 Kempegowda Bus Station,3,3,100.0,3,3,100.0
NMG-ASKUP,NMG0 Nelamangala Bus Station,ARSK1 Arishinakunte (Towards Gejjigadahalli),2,2,100.0,2,2,100.0
YTTMC-KBS 96DN,GVTSF1 Govt Soap Factory,KBS123 Kempegowda Bus Station,3,3,100.0,2,3,66.66667
JHC-SSPCUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,3,66.66667,8,11,72.72727
125-ADN,SBS0 Shivajinagara Bus Station,KRM4 KR Market,4,4,100.0,24,36,66.66667
D31G-BUADMUP,KTP Kottigepalya,PPDRP Papareddypalya,2,3,66.66667,3,4,75.0
V-SURN-KBSUP,MDWL1 Madivala,KBS123 Kempegowda Bus Station,4,6,66.66667,12,17,70.588234
BGR-ELCUP,BGRATB Beguru (Towards Bommanahalli),BMH8 Bommanahalli (Towards Madivala),5,5,100.0,3,4,75.0
MPH-GJRUP,MNHS Madhura Nagara Hostel,VRTBS1 Varthuru,2,3,66.66667,5,6,83.33333
KLNB-SBIBTHLUP,RMNALDM Ramamurthy Nagara Alada Mara,KRPM-1 KR Puram Market,2,2,100.0,27,27,100.0
D38-ISH KUP,HSKU Huskur (Towards Gattahalli),CHNMDL Chinthala Madivala Cross,2,2,100.0,2,2,100.0
AIT-KHDS-SBSUP,MGDTLG Magadi Road TollGate ,kcle Kodays Circle,2,3,66.66667,1,1,100.0
ELC-HSRBCUP,ELC Electronic City (Towards Bommanahalli),HSRD Hosa Road (Towards Singsandra),2,3,66.66667,2,3,66.66667
BMT10-AJBUP,JONGWR Jn of Nagavara,THNSN Thanisandra,2,2,100.0,11,11,100.0
D34 Gate-ANKUP,KMBRL Kumbaranahalli,ANKL Anekal,3,8,37.5,2,3,66.66667
HSRBDA-D32DN,BMH2 Bommanahalli (Towards Electronic City),HBGDI Hebbagodi,2,5,40.0,4,5,80.0
313-CUP,ISH Isolation Hospital,KRPRLY Railway Station KR Puram,2,2,100.0,4,4,100.0
77 YTTMC-MLOUP,GVTSF1 Govt Soap Factory,MLO3 Mahalakshmi Layout,2,2,100.0,2,2,100.0
KBS-ISROQ 61UP,MGD1C 1st Cross Magadi Road,VJN1 Vijayanagara,3,3,100.0,7,12,58.333332
NNG-KLNDN,GEDH Geddalahalli (Towards Hennur),HNRCRS Hennur Cross (Towards Lingarajapura),2,4,50.0,4,8,50.0
121-BAUP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,7,57.14286,104,189,55.026455
ORRCAP-ELCWUP,KDG Kudlu Gate,KNP3 Konappana Agarhara,2,6,33.333336,1,1,100.0
315-HDN,PLT Pallavi Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,2,4,50.0
366-Z ANK-CNPUP,ANEKL Anekal,SDP6 Siddanapalya,3,3,100.0,10,12,83.33333
D06-BMSITUP,MKH1 Mekhri Circle,NES NES Office,4,4,100.0,1,2,50.0
NLR-DVHOBDN,REH Reddyhalli,DVHOBS2 Devanahalli Old Bus Stand,2,2,100.0,6,6,100.0
YLH-D-34 GATEUP,YLHNLI Yelenahalli,AECSDC AECS Dental College,2,3,66.66667,5,8,62.5
SGH-BSK-SNRUP,JBS4thB Jayanagara 4th Block,SMG Sangam Circle,2,2,100.0,25,25,100.0
SDN-YTTMCDN,MLSW18C 18th Cross Malleshwaram (Towards YTTMC),YTTMC1 Yashawanthapura TTMC,2,2,100.0,2,2,100.0
VJN-GJRUP,VJN21 Vijayanagara,WFPO2 White Field Post Office,2,5,40.0,8,16,50.0
210-KAUP,CKHSAM Chikkallasandra Aralimara (Chikkalasandra),CKBS Chikkallasandra,2,10,20.0,1,1,100.0
BEL-KRPGHDN,RMNALDM Ramamurthy Nagara Alada Mara,KRPG KR Puram Govt Hospital,2,7,28.57143,9,16,56.25
VSP-BSKDN,KDRNH Kadirenahalli,BSKTTMC0 Banashankari TTMC,2,4,50.0,13,25,52.0
SPHS-HBLBUP,MRP Munireddy Palya J C Nagara ,RTNPS2 Police Station RT Nagara ,2,3,66.66667,6,6,100.0
D38-CPRUP,HBGDI Hebbagodi,BMSNDR Bommasandra (Towards Chandapura),2,3,66.66667,6,7,85.71429
ORRCA Kalyani Tech Park To CPRDN,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,9,33.333336,36,62,58.064514
374-FUP,UTRCL Uttarahalli Circle,CKBS Chikkallasandra,2,2,100.0,1,1,100.0
PPLO-D13GUP,PRNPL Poornaprajna Layout,UTRCL Uttarahalli Circle,2,3,66.66667,1,2,50.0
JBS-PPLOUP,BSK Banashankari Bus Station (Towards Kadirenahalli),UTRC Uttarahalli Circle,2,5,40.0,11,21,52.380955
230-B SBSUP,BSVN1 Basavanagara Kengeri,ANCPL Anchepalya,2,10,20.0,1,1,100.0
D13-ORRCA Prestige Tech ParkUP,KMKT Kamakya Talkies,BTM16 16th Main BTM Layout ,2,2,100.0,1,1,100.0
D40C-HNSUP,MKLC Makali Cross,MTTLC Mattahalli Cross,3,3,100.0,2,3,66.66667
210PUP,CKHSAM Chikkallasandra Aralimara (Chikkalasandra),CKBS1 Chikkallasandra,2,10,20.0,4,4,100.0
BPS-RTNPDN,NGSH Nagashettyhalli,ASWN1 Ashwath Nagara (Towards Gangenahalli),2,2,100.0,2,2,100.0
88DN,SHTGT1 Industrial Town Rajajinagara ,KBS123 Kempegowda Bus Station,4,5,80.0,561,885,63.38983
213-DAUP,BRMCS Bannigiri Cross,BRML Byramangala,2,20,10.0,2,2,100.0
V-356PDN,SJT1 Sujatha Talkies,shtgt3 Industrial Town Rajajinagara ,2,2,100.0,1,1,100.0
MBS-12 APN-PSSDN,SKK Sunkadakatte,HGHMD Hegganahalli (Towards Peenya 2nd Stage),2,4,50.0,21,33,63.636364
MDL-CPRDN,KITHGNL Kithaganahalli,CPR Chandapura (Towards Attibele),2,2,100.0,1,1,100.0
KMT-NLO 95AUP,HRDG Harishchandra Ghat,NLO1 Nandini Layout Bus Stand,2,2,100.0,1,1,100.0
D35-VDHTCUP,KDGC2 Kadabagere Cross,JPT1 Janapriya Township,2,2,100.0,3,3,100.0
V-226HBLUP,KBG0 Kumbalagodu,WNDRPRK Wonderla Amusement Park,2,2,100.0,1,1,100.0
BSN-KHBQUP,BSVN2 Basavanagara Kengeri,JOKMGT Jn of Kommaghatta,2,3,66.66667,1,2,50.0
SRYN-HSKUP,SURNR Surya Nagara,CPR2 Chandapura (Towards Dommasandra),2,2,100.0,3,3,100.0
YTTMC-CQAELUP,YTTMC Yashawanthapura TTMC,GGPLY Goraguntepalya (Towards BEL Circle),2,2,100.0,1,1,100.0
BPJN-VSD-KBSUP,BPN Bapujinagara,CRPN Corporation (Towards Cauvery Bhavan),4,6,66.66667,58,95,61.05263
NBVC VSCNBV-KBSDN,VJNGRAA Vijayanagara,KBS1 Kempegowda Bus Station,4,5,80.0,7,13,53.846157
ARS-YHKOTDN,DWKN Dwaraka Nagara (Towards Yalahanka),YHK Yelahanka Old Town,3,5,60.000004,13,23,56.521736
VSD-KBSDN,MRC3 Maharanis College ,KBS123 Kempegowda Bus Station,2,2,100.0,5,5,100.0
NMG-JKLODN,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,2,7,28.57143,8,15,53.333336
HRH-GJRDN,MDNGRHT Madhura Nagara Hostel,VRTBS1 Varthuru,2,4,50.0,11,22,50.0
RKH-KLNDN,TLBS Thanisandra,jnon Jn of Nagawara,2,3,66.66667,8,15,53.333336
BSK-JBSUP,BSKTTMC1 Banashankari TTMC,JTTMC Jayanagara TTMC,2,2,100.0,26,26,100.0
SRN-HSSUP,CPR2 Chandapura (Towards Dommasandra),RAMSGR Ramasagara,2,2,100.0,2,2,100.0
HSK SVN-SNBSUP,NANJU Nanjundeshwara Stores ,BNKCLY Bank Colony,2,6,33.333336,3,6,50.0
D38-MTNUP,CHNMDL Chinthala Madivala Cross,MUTNLO Muttanalluru Cross,2,2,100.0,1,1,100.0
HBL-AJBDN,JONGWR Jn of Nagavara,THNSN Thanisandra,2,3,66.66667,7,9,77.77778
PPLO-CKAUP,CKSDRC Chikkallasandra Aralimara (Towards Gowdanapalya),PDNGRA Padmanabha Nagara,2,3,66.66667,1,1,100.0
PSS-ANPUP,PSS Peenya 2nd Stage,HGHMD1 Hegganahalli (Towards Sunkadakatte),2,3,66.66667,1,2,50.0
D12G-KRB 224CUP,KNGRD Kengeri,KSNDR Konasandra,3,4,75.0,3,5,60.000004
V-222ADN,SRSC5 Sirsi Circle,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
GBV-ITPLUP,VYDHS White Field TTMC (Vydehi Hospital),SJRHS Sathya Sai Hospital,2,18,11.111112,1,2,50.0
EY-KRPUP,tinf Tin Factory,KRPG KR Puram Govt Hospital,2,2,100.0,4,4,100.0
ELCW-ORRCASDN,AGRA1 Jn of Agara,CLA Bellanduru,3,4,75.0,1,1,100.0
VJN-GBHSUP,VJN1 Vijayanagara,NDH Nayandahalli,2,2,100.0,4,4,100.0
VKN-BSKDN,KTGP Kathriguppe,KDHP Kadirenahalli Park,2,2,100.0,1,1,100.0
BSK-D13DN,BSKTTMC1 Banashankari TTMC,KMT13 Depot-13 Gate,2,2,100.0,11,11,100.0
PSS-GDPUP,MF Marison Factory,MKL1 Makali,3,4,75.0,1,1,100.0
SKTS-BSKDN,RGGD Ragigudda Temple,BSKTTMC0 Banashankari TTMC,2,3,66.66667,14,25,56.0
30-CDN,MKC2 Mekhri Circle,TELEE Telephone Exchange AGO ,3,4,75.0,3,4,75.0
D38-DTSUP,SOPG Somapura Gate,SJPBSND Sarjapura,2,5,40.0,9,13,69.230774
ELC-BGRUP,BMH0 Bommanahalli (Towards Beguru),BGUATB Beguru (Towards Beguru),3,3,100.0,3,3,100.0
HBL-GGP-SMH-CLOUP,MLGLC Malagala Cross,CLO Chandra Layout,3,4,75.0,1,1,100.0
KML-SMHDN,KMKPL Kamakshipalya,SMH4 Summanahalli,2,2,100.0,2,2,100.0
GRN 2ND-PPLODN,bns1 Ittamadu Cross,ITMD10 Ittamadu,2,3,66.66667,15,18,83.33333
SGH-ELOUP,5-Jan 5th Block Jayanagara (Towards JP Nagara),PTH1 Puttenahalli,2,2,100.0,1,1,100.0
YPRTTMC-LGHUP,SSN Police Station Sadashivanagara,KVPC1 Kuvempu Circle,3,4,75.0,2,3,66.66667
401-KB MACERUP,BSVN1 Basavanagara Kengeri,KBG0 Kumbalagodu,14,14,100.0,1,1,100.0
CLO-BUADM 238UUP,CLO1 Chandra Layout Cirlce,MRTALY Mallathahalli Cross,2,3,66.66667,2,3,66.66667
PNN-SGHDN,MONTPE Monotype Corporation,BNS0 Banashankari Bus Station,2,3,66.66667,1,2,50.0
502-MUP,AGRA1 Jn of Agara,KDBH1 Kadabisanahalli,3,6,50.0,28,47,59.574467
404-JUP,RCHMDCR Richmond Circle,SNTTMC Shanthinagara TTMC,2,2,100.0,3,3,100.0
234-DUP,KMT1 KR Market (Kalasipalya),SRSC Sirsi Circle,2,2,100.0,5,5,100.0
7-FUP,JVBN Jeevanbheema Nagara,TPS1 Thippasandra,2,3,66.66667,6,8,75.0
SBS-KMTDN,SBS0 Shivajinagara Bus Station,KRMC1 KR Market,4,4,100.0,189,248,76.20968
YPRTTMC-MKNUP,YTTMC1 Yashawanthapura TTMC,MKN1 Mohankumar Nagara,2,4,50.0,1,2,50.0
SNBS-MGRUP,RICHMD Richmond Circle,MHOH Mayohall,2,2,100.0,1,1,100.0
MRHB-DRDO2DN,BEMLG1 BEML Gate (Towards HAL),CVRMG CV Raman Nagara (Towards Kaggadasapura),4,4,100.0,1,1,100.0
V-226HBLDN,WNDRLAPRK Wonderla Amusement Park,KBS1 Kempegowda Bus Station,4,6,66.66667,28,44,63.636364
MTM-BSNDN,SJT1 Sujatha Talkies,BSN0 Basaveshwaranagara New Bus Stand,3,3,100.0,2,4,50.0
SMS-HBL-VSDUP,SHOWML Show Mall Sahakara Nagara ,HBL1 Hebbala (Towards RM Guttahalli),2,4,50.0,6,11,54.545456
KDH-D35DN,YLKDH Yale Kodigehalli,GLH9 Gollarahatti (Towards Magadi Road),2,5,40.0,5,8,62.5
VPP-VRP-PTHDN,VPRA Vidyaranyapura,CHIKB Chikka Bettahalli,2,3,66.66667,1,2,50.0
500ADN,RGGD Ragigudda Temple,BSKTTMC0 Banashankari TTMC,2,3,66.66667,73,126,57.93651
PPLO-PNNUP,CKSDRC Chikkallasandra Aralimara (Towards Gowdanapalya),PDMNRC2 Padmanabha Nagara Rock,2,2,100.0,1,1,100.0
238-ABUP,ITLO Income Tax Layout,NGRCL Nagarabhavi Circle,2,8,25.0,38,43,88.37209
242-CDN,MGDTLG Magadi Road TollGate ,KMT1 KR Market (Kalasipalya),4,5,80.0,8,16,50.0
D34 Gate-DCHUP,D34GT Depot-34 Gate,HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,2,2,100.0
ATB-SBSDN,MYH1 Mayohall,SBS1 Shivajinagara Bus Station,2,6,33.333336,11,14,78.57143
353UP,SURN Surya Nagara,IGGLR Iggluru,2,20,10.0,1,1,100.0
SINC-MSPUP,JONGWR Jn of Nagavara,THNSN Thanisandra,2,3,66.66667,11,19,57.894737
BUADM-HAL 238UUP,INTAX Income Tax Layout,VJNGRAA Vijayanagara,4,4,100.0,3,3,100.0
BTH-D35DN,JPT0 Janapriya Township,KDBGC Kadabagere Cross,2,3,66.66667,5,7,71.42857
LGR-GGP-YPRDN,LGR Laggere New Bus Stand,YTTMC1 Yashawanthapura TTMC,3,3,100.0,4,7,57.14286
JGN APC-HBGDUP,RPSHTL Rupesh Hotel,HBGDI1 Hebbagodi,3,3,100.0,3,5,60.000004
77-C NLO-YTTMCDN,NLO1 Nandini Layout Bus Stand,GVTSF Govt Soap Factory,2,3,66.66667,30,49,61.22449
334-BDN,LFSTY Life Style,KRM4 KR Market,4,6,66.66667,2,3,66.66667
ATB-HSRBCUP,BTLCLG BTL College,HSRA2 SI Apartment HSR Layout,3,4,75.0,3,4,75.0
DPJN-BMBS-237CDN,VJNGRAA Vijayanagara,SNPLY Srinivasa Nagara PattegarPalya ,2,4,50.0,14,17,82.35294
BMT10-YPHUP,HNRCS Hennur Cross (Towards Hennur Bande),GDLH Geddalahalli (Towards Byrathi Bande),2,6,33.333336,2,4,50.0
KVS-BMETROUP,HLS1 Halasuru,ISH Isolation Hospital,2,3,66.66667,6,9,66.66667
GTH-STJOHNDN,HUSK Huskur (Towards Chikkanagamangala Gate),ELC Electronic City (Towards Bommanahalli),3,7,42.857143,10,20,50.0
D31G-VNSUP,CHWIN LB Samudaya Bhavana,RLIPB1 Reliance Petrol Bunk Goraguntepalya,2,6,33.333336,6,8,75.0
361-DDN,LKS1 Lakkasandra,LBGHG Lalbagh Main Gate,2,18,11.111112,2,3,66.66667
30-CUP,KBS1 Kempegowda Bus Station,GNH Gangenahalli (Towards Sanjaynagara),5,5,100.0,5,10,50.0
BNS-JAPC 355EDN,NYABVDN Maruthi Nagara,APCR1 Jigani APC Circle,2,2,100.0,4,4,100.0
ABHN-KRPDN,BAGMNTECK Bagmane Tech Park,BGH-1 Benniganahalli,2,4,50.0,10,19,52.63158
JAPC-KRTDUP,KOPGT Koppa Gate,RGHLI Ragihalli,2,3,66.66667,3,4,75.0
D38-SKPUP,D38CHNH Depot-38 Gate,ELC2 Electronic City 378 ,2,3,66.66667,4,8,50.0
DPJ-KPA 55BUP,SRSC5 Sirsi Circle,KMPAGARAR Kempapura Agarahara,2,2,100.0,2,2,100.0
7-FDN,TPS2 Thippasandra,JVBN Jeevanbheema Nagara,2,3,66.66667,4,8,50.0
BTP-TNF 401UP,BAGMTECH Bagmane Tech Park,BGH-1 Benniganahalli,2,3,66.66667,9,14,64.28571
BDD-WDL 226MUP,MNHG Manchanayakanahalli Gate,WNDRLP1 Wonderla Amusement Park,2,3,66.66667,2,2,100.0
RMP-KLNDN,BRT Byrathi,KLNB Kalyananagara Bus Stand,4,5,80.0,13,23,56.521736
CDT-D38DN,CHDSTC Chowdeshwari Temple (Towards Marasur Gate),CPR0 Chandapura (Towards Electronic City),2,3,66.66667,1,2,50.0
D38-AECSUP,KDLV Kudlu Gate,KDLPTY Kudlu Panchayath Office,2,5,40.0,1,1,100.0
HKH-BSKDN,HOSKER Hoskerehalli,KTGP Kathriguppe,2,3,66.66667,3,4,75.0
D16 DPN-NLCUP,ITLO Income Tax Layout,NGRCL Nagarabhavi Circle,2,2,100.0,8,8,100.0
ANP-D34 GateDN,GLF Glass Factory (Towards Jambusavari Dinne),D34GTE Depot-34 Gate,2,2,100.0,1,1,100.0
KIAS-4UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,2,13,15.384616,2,2,100.0
168-DUP,MHW Muneshwara Devasthana,1453 Tavarekere Aladamara,4,7,57.14286,60,71,84.50704
V-211ALDN,CRPN Corporation (Towards Cauvery Bhavan),KBS123 Kempegowda Bus Station,2,9,22.222223,1,1,100.0
BEML-JILUP,HALMG-1 HAL Main Gate (Towards Murugeshpalya),MPH-1 NAL Manipal Hospital ,2,5,40.0,3,6,50.0
CPR-TGPDN,BMH4 Bommanahalli (Towards St Johns),BSKTTMC1 Banashankari TTMC,3,3,100.0,3,4,75.0
BMT38-GTH-HORJNUP,KSBDA Karnataka Slum Board Development Apartment,RAYSNC Rayasandra Circle,2,2,100.0,4,4,100.0
BEML-SBSUP,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,3,100.0,8,12,66.66667
150UP,SBS0 Shivajinagara Bus Station,KRMC1 KR Market,4,4,100.0,289,368,78.53261
MLOBS-KBSUP,JNHR Jn of Hosur Road,KBS123 Kempegowda Bus Station,6,6,100.0,7,13,53.846157
RMH-TVKDN,MLGDH Maligondanahalli,TVRKR1 Tavarekere,2,2,100.0,3,3,100.0
SCS-KMT221DDN,NBRHL New Byrohalli,BDC3 Beedi Karmikara Colony,2,3,66.66667,1,2,50.0
KBS-RGPSUP,RJNESI ESI Hospital Rajajinagara (Towards Navarang),MLO1 Mahalakshmi Layout,2,3,66.66667,5,9,55.555557
MRHB-HLSDN,BOPBSTP Dhoopanahalli,KFCPS3 Police Station Indiranagara,2,4,50.0,9,14,64.28571
HKH-KBSUP,BNKCLY Bank Colony,KRM4 KR Market,4,5,80.0,18,35,51.428574
316-UDN,RCHMDCR Richmond Circle,KRM4 KR Market,4,17,23.529411,3,3,100.0
VKN-KMTDN,BNGDY Basavanagudi Police Station,KRMT1 KR Market,3,3,100.0,3,4,75.0
SBS-BSKDN,JTTMC Jayanagara TTMC,BSKTTMC0 Banashankari TTMC,2,4,50.0,42,56,75.0
BKH-HSK KEBDN,BKTH Bhaktharahalli Cross,KEB-1 Hoskote KEB Circle (Towards KR Puram),2,2,100.0,1,1,100.0
D31G-SNBUP,HVNCR Havanur Circle (Towards Shankar Mutt),KML2 Market Kamalanagara,3,5,60.000004,12,20,60.000004
BSNP-CVNUP,HVNRC Havanur Circle (Towards Rajajinagara),KVRNGR Cauvery Nagara,2,2,100.0,3,3,100.0
163-AUP,KKMP Kalyana Mantapa Koramangala,KRMDTMC Koramangala TTMC,2,3,66.66667,1,1,100.0
PTH-KDGUP,BRP1 Byatarayanapura (Towards Hebbala),KDLY Kodigehalli,2,2,100.0,2,2,100.0
JGN-ELCDN,RPSHTL Rupesh Hotel,BMSIA Bommasandra (Towards Hosur Road),2,2,100.0,2,2,100.0
NSH-RTNPDN,BOPSDST Bhoopasandra,HBL1 Hebbala (Towards RM Guttahalli),2,2,100.0,9,9,100.0
HBL-KBRUP,HBL1 Hebbala (Towards RM Guttahalli),RTNPS3 Police Station RT Nagara ,2,3,66.66667,17,28,60.714287
BSK-GNEUP,INDNH Indira Nursing Home,KTPR Kathriguppe,2,3,66.66667,3,5,60.000004
KDG-DHLDN,ITPL ITPL,BTM16th 16th Main BTM Layout ,5,5,100.0,2,2,100.0
BRD-JAPC 366MDN,SHNBHO Shanubhoganahalli Bannerughatta ,WEVRCOL Weavers Colony,4,4,100.0,3,5,60.000004
MRTG-JHCUP,SKK Sunkadakatte,JHC4 Jalahalli Cross,2,2,100.0,1,1,100.0
KIAS-4AUP,HALMG1 HAL Main Gate (Towards NGEF),KIAS Kempegowda International Airport,9,9,100.0,167,297,56.228954
390DN,PNHC1 Pethanahalli Cross,HKEB Hoskote KEB Circle (Towards Hoskote),2,14,14.285715,1,1,100.0
225-DDN,BPN Bapujinagara,KBS123 Kempegowda Bus Station,3,5,60.000004,5,7,71.42857
GKWL-VPSUP,VJN Vijayanagara,MDLPLYA Moodalapalya,2,5,40.0,23,37,62.162163
150DN,KRMC1 KR Market,SBS1 Shivajinagara Bus Station,4,4,100.0,167,227,73.56828
DPN-UPLOUP,ITLO Income Tax Layout,NGRCL Nagarabhavi Circle,2,3,66.66667,1,2,50.0
KDG-PTHUP,KDL Kodigehalli,BRP Byatarayanapura (Towards Yalahanka),2,4,50.0,2,4,50.0
D34 Gate-BSPCUP,D34GT Depot-34 Gate,GTR2 Gottigere (Towards Basavanapura Gate),2,2,100.0,2,2,100.0
171-BDN,CPPV Pallavi Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,49,72,68.05556
YTTMC-NLOUP,GTMLO Ganesha Temple Mahalaskhmi Layout,NLO1 Nandini Layout Bus Stand,2,2,100.0,2,2,100.0
KBS-DPN-87UP,PIPELINE Pipeline Binni Layout ,HPN0 Hampinagara RPC Layout,4,4,100.0,3,3,100.0
222DN,BPN Bapujinagara,KRM4 KR Market,3,10,30.000002,197,366,53.825134
SGH-HNG MICOUP,BTM16 16th Main BTM Layout ,BMH0 Bommanahalli (Towards Beguru),2,2,100.0,2,2,100.0
GNR-YTTMCDN,GNR1 Ganga Nagara,YTTMC Yashawanthapura TTMC,2,2,100.0,4,4,100.0
SGH-UTHUP,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),JRGH1 Jaraganahalli Cross,2,5,40.0,24,44,54.545456
98F VSDUP,LXMI Lakshmidevi Nagara,SWK Swastik Sheshadripuram College ,4,5,80.0,3,4,75.0
D33-AGSL-VBNUP,VBB1 Ittamadu,HSKHC Hoskerehalli Junction,2,3,66.66667,11,12,91.66667
KBP-KMT-KBSUP,KRPM KR Puram Market,KRM4 KR Market,6,7,85.71429,21,42,50.0
381-HDN,Corpo Corporation (Towards KR Market),KRM4 KR Market,2,19,10.526316,2,3,66.66667
DRDO-SNBS 314EDN,BEMLG1 BEML Gate (Towards HAL),HLS Halasuru,2,2,100.0,1,1,100.0
KMS-BTMSDN,BSKTTMC1 Banashankari TTMC,BTM16 16th Main BTM Layout ,2,2,100.0,1,1,100.0
MF-10UP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,7,57.14286,69,103,66.990295
NDH-CLOUP,MRPLYA Mariyappanapalya,NGBVC1 Nagarabhavi Circle,2,3,66.66667,1,2,50.0
TGP-D-16-243BUP,ADH0 Andhrahalli,KMKP Kamakshipalya,4,4,100.0,6,10,60.000004
RTNPS-KBRUP,RTNPS3 Police Station RT Nagara ,KBR Kaval Byrasandra,2,2,100.0,15,15,100.0
D31G-MLOUP,KTRVS Kanteerava Studio,MLO3 Mahalakshmi Layout,2,2,100.0,2,2,100.0
MPJ-KRMUP,CORNL Carmel Convent Jayanagara,END East End Jayanagara (Towards BTM Layout),2,2,100.0,3,3,100.0
129UP,KBS1 Kempegowda Bus Station,SBS1 Shivajinagara Bus Station,5,5,100.0,1177,1493,78.834564
KGP-BDDDN,HJLC1 Hejjala Cross,BDD Bidadi,8,10,80.0,6,12,50.0
KVS-KGDUP,DRDOQ DRDO Quarters,CVRN CV Raman Nagara (Towards BEML Gate),2,2,100.0,1,1,100.0
BEML5-CRLUP,CNSDR1 Channasandra (Towards BEML 5th Stage),UTRCL Uttarahalli Circle,2,2,100.0,2,2,100.0
D06-MLPUP,ISH Isolation Hospital,BEMLGT BEML Gate (Towards HAL Main Gate),2,3,66.66667,2,4,50.0
ADT-IAFUP,YHKSC1 Yelahanka Santhe Circle,BLGC Bagalur Cross,2,2,100.0,1,1,100.0
VRP-PTNDN,VRP Vidyaranyapura Bus Station,CHIKB Chikka Bettahalli,2,3,66.66667,3,5,60.000004
VGK-D38UP,VKHLLI Valagere Kallahalli,DOMS Dommasandra,2,3,66.66667,1,2,50.0
DPJN-KDGUP,SJRHS Sathya Sai Hospital,KDG0 Kadugodi Bus Station,4,22,18.181818,3,4,75.0
CSB-CPRUP,CSBFY Central Silk Board UFLY,HBGDI Hebbagodi,2,4,50.0,28,45,62.222225
BMT10-JTNUP,D10G Depot-10 Gate,HMVA Horamavu Agara,3,3,100.0,6,7,85.71429
LBSN-D06DN,HALMG1 HAL Main Gate (Towards NGEF),ISOLH Isolation Hospital,2,4,50.0,18,22,81.818184
YTTMC-MLO-JBNUP,MLO1 Mahalakshmi Layout,KRVS Kanteerava Studio,2,2,100.0,1,1,100.0
YRSTN-YHKUP,YTTMC1 Yashawanthapura TTMC,MKC Mekhri Circle,2,3,66.66667,1,2,50.0
KMT-ACC B6UP,MTHB-1 Marathahalli Bridge,KUDGT Kundalahalli Gate,2,5,40.0,39,75,52.0
BSK-BELUP,CHWIN LB Samudaya Bhavana,RLIPB1 Reliance Petrol Bunk Goraguntepalya,3,8,37.5,12,22,54.545456
D10-RCHUP,JONGWR Jn of Nagavara,THNSN Thanisandra,2,3,66.66667,13,15,86.666664
KBS-MEGHUP,KBS1 Kempegowda Bus Station,HBL Hebbala (Towards Yalahanka),2,3,66.66667,5,6,83.33333
MLO-SHCLUP,MLO3 Mahalakshmi Layout,RJN1B 1st Block Rajajinagara,2,2,100.0,1,1,100.0
SJWA-KBSDN,WGPS Wilson Garden Police Station,KBS123 Kempegowda Bus Station,4,4,100.0,35,52,67.30769
BMW-YHKDN,VTHL Venkatala,YHK Yelahanka Old Town,2,9,22.222223,4,8,50.0
JBS-KRMTUP,JTTMC Jayanagara TTMC,BMTLYTK BTM Layout Kuvempu Nagara ,4,6,66.66667,10,18,55.555557
