Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
SNR-MDLUP,KTGP Kathriguppe,BNS0 Banashankari Bus Station,4,7,57.14286,41,220,18.636364
SBS-MRSUP,HLS1 Halasuru,ISH Isolation Hospital,2,13,15.384616,14,207,6.7632847
121-AUP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,7,57.14286,96,304,31.578945
3-BDN,JBS4th Jayanagara 4th Block,MRNB Marenahalli Bus Stand,2,10,20.0,84,596,14.09396
SGH-HBLUP,BTM16 16th Main BTM Layout ,KDBH1 Kadabisanahalli,7,19,36.842106,28,518,5.4054055
244-CDN,P[DP Papareddypalya,KBS123 Kempegowda Bus Station,8,9,88.88889,131,1404,9.330484
PRSH-KBSDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,2,19,10.526316,12,108,11.111112
253-CDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC3 Jalahalli Cross,2,12,16.666668,16,74,21.621622
265-AUP,KBS1 Kempegowda Bus Station,PSS1 Peenya 2nd stage,26,40,65.0,877,15991,5.484335
HBL-SGH 285MUP,SNGHLG Singanayakanahalli Gate,SNKH1 Singanayakanahalli,2,2,100.0,1,1,100.0
227-VCDN,RMH12 Ramohalli,KGR1 Kengeri TTMC,6,20,30.000002,47,594,7.912458
507-CUP,KRPRST KR Puram Railway Station,RMNADM Ramamurthy Nagara Alada Mara,2,26,7.692308,449,5588,8.035075
KLN-JJNUP,KDGH23 Kadugondanahalli Police Station,KMT2 KR Market,8,10,80.0,28,130,21.538462
BGPS-CSBUP,BGPS Beguru Govt Primary School,BMH3 Bommanahalli (Towards Central Central Silk Board),2,2,100.0,2,2,100.0
215-NUP,KBS1 Kempegowda Bus Station,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),8,12,66.66667,157,1197,13.116124
345UP,KMT1 KR Market (Kalasipalya),HNSRA Hongasandra,9,14,64.28571,229,2096,10.925572
BPL SRN-DPJDN,INTAX Income Tax Layout,DPJN Deepanjali Nagara,3,3,100.0,5,5,100.0
BC-9UP,THNSN1 Thanisandra,JONGWR1 Jn of Nagavara,2,7,28.57143,245,1078,22.727274
261DN,GVTSF1 Govt Soap Factory,KBS123 Kempegowda Bus Station,4,8,50.0,43,208,20.673077
MBS-NBV-MCRXUP,VJN Vijayanagara,MDLPLYA Moodalapalya,2,11,18.181818,31,123,25.20325
228-FUP,KMT1 KR Market (Kalasipalya),KGLH14 K Gollahalli,11,15,73.333336,76,879,8.646189
212UP,BSKTTMC0 Banashankari TTMC,THGNI Thataguni,7,12,58.333332,85,1060,8.0188675
CVRN-RMNFUP,CVRMGN CV Raman Nagara (Towards Benniganahalli),NGEF-1 NGEF Main Road,2,2,100.0,1,1,100.0
BSVN-VSDDN,BSVNGR Basavanagara ,DOMLR Domlur (Towards Commando Hospital),5,9,55.555557,47,283,16.607773
K-4UP,BPN Bapujinagara,KRMRKT KR Market,3,20,15.000001,516,7068,7.3005095
294-FDN,HNRCRS Hennur Cross (Towards Lingarajapura),KBS123 Kempegowda Bus Station,8,12,66.66667,92,756,12.169312
VSD-YST5UP,VIDHAN Vidhana Soudha Karnataka High Court ,RMGTH RM Guttahalli,2,10,20.0,14,105,13.333334
248-PS MRTGUP,SKK Sunkadakatte,JHC3 Jalahalli Cross,5,9,55.555557,17,137,12.408759
288-DDN,KDL Kodigehalli,KBS1 Kempegowda Bus Station,12,12,100.0,427,2267,18.835466
276-EUP,KRM4 KR Market,KBS1 Kempegowda Bus Station,3,11,27.272728,34,193,17.616581
407-DUP,BGLG1 Bagalagunte (Towards 8th Mile),JHC3 Jalahalli Cross,3,35,8.571429,32,562,5.69395
225UP,NDH Nayandahalli,RRT RR Temple,2,4,50.0,30,32,93.75
SRN-KGRUP,GTR1 Gottigere (Towards Kalena Agrahara),KKTC Konanakunte Cross,4,18,22.222223,11,118,9.322034
289-LAUP,BDG3 Budigere (Towards Nalluru),HSKSTP Hoskote Bus Stand,5,18,27.777779,10,29,34.482758
367-DDN,LSPK1 Lakshmipura Kalkere,KMT1 KR Market (Kalasipalya),15,15,100.0,59,937,6.2966914
306-MDN,PAG Pattandur Agrahara Gate,HODC Hoodi (Towards ITPL),2,23,8.695652,87,1822,4.7749724
298-MHUP,KBS1 Kempegowda Bus Station,HBL Hebbala (Towards Yalahanka),5,24,20.833332,58,1332,4.3543544
240-KDN,MGDI Magadi,KMT1 KR Market (Kalasipalya),23,26,88.46153,40,493,8.11359
BC-4ADN,YLHNLI Yelenahalli,BLKLI Bilekahalli,3,6,50.0,143,871,16.41791
214-CUP,SECRL South End Circle,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),2,17,11.764706,79,622,12.700965
NAL-KRP 400AUP,BYPMETRO Bayyappanahalli Metro Station,KRPG KR Puram Govt Hospital,3,5,60.000004,31,109,28.440369
227-MDN,VRGDD Veeregowdana Doddy,MNBD Manchanabele,7,24,29.166666,14,230,6.0869565
235KUP,KBS1 Kempegowda Bus Station,MDLPLYA Moodalapalya,7,12,58.333332,49,379,12.928761
TGV-PSSDN,JNPA Janapriya Apartment,JHC4 Jalahalli Cross,3,7,42.857143,46,128,35.9375
355-EUP,ELC3 Electronic City (Towards Attibele),HBGDI Hebbagodi,2,14,14.285715,12,59,20.338982
VSD-SNRUP,LBGHG Lalbagh Main Gate,SNR Srinagara Bus Station,4,6,66.66667,34,188,18.085106
510UP,UTRC Uttarahalli Circle,KGR1 Kengeri TTMC,23,34,67.64706,280,1819,15.393074
335-N BUADMUP,KDGATE Kundalahalli Gate,KBS1 Kempegowda Bus Station,11,26,42.307693,16,258,6.2015505
214-DAUP,BSKTTMC1 Banashankari TTMC,KKC Konanakunte Cross,3,12,25.0,104,1010,10.2970295
141DN,VVKN Vivek Nagara,MYH1 Mayohall,3,4,75.0,159,657,24.200912
245-MADN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,12,16.666668,25,229,10.91703
KMK-VSDUP,KTPR Kathriguppe,KRMARK KR Market,5,8,62.5,4,15,26.666668
245-MUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,14,14.285715,121,1130,10.707965
BSK-MTRUP,BSKTTMC1 Banashankari TTMC,NDH Nayandahalli,5,7,71.42857,5,17,29.411766
CVR-D06UP,CVRMGN CV Raman Nagara (Towards Benniganahalli),DEPO6 Depot-06 Gate,2,2,100.0,2,2,100.0
YHK-JHCUP,MSPY1 MS Palya,JHC3 Jalahalli Cross,3,7,42.857143,4,17,23.529411
CHLS-YLK-KBSDN,SVNDS2 Shivananda Store,KBS123 Kempegowda Bus Station,2,12,16.666668,20,133,15.037593
314-BUP,KBS1 Kempegowda Bus Station,BEML BEML Gate (Towards CV Raman Nagara),14,17,82.35294,194,2746,7.0648217
MF-8UP,SWSTK Swastik Sheshadripuram College ,MHC Maharanis College,4,8,50.0,20,49,40.816326
380-BDN,KRPM KR Puram Market,TIF Tin Factory,2,20,10.0,69,915,7.5409837
GJR-VJNUP,VRTBS Varthuru,VRTKD1 Varthur kodi,2,5,40.0,18,41,43.90244
YHKOT-KMTUP,MSPY1 MS Palya,BELCRL BEL Circle (Towards Mathikere),3,10,30.000002,4,16,25.0
KGR-SURNDN,TGRC Thogur Cross,WPTGT1 Wipro Gate Shikaripalya Cross,3,29,10.344828,29,221,13.122172
154DN,CRP Corporation (Towards HAL MG Road),SBS1 Shivajinagara Bus Station,3,5,60.000004,15,43,34.88372
C-500ADN,KRPRLY Railway Station KR Puram,BSKTTMC0 Banashankari TTMC,14,20,70.0,13,285,4.5614033
365-PUP,KBS1 Kempegowda Bus Station,MDPN Madapatna,30,36,83.33333,770,13377,5.756149
316-GDN,BTH-1 Bhattarahalli,KRPM KR Puram Market,2,15,13.333334,44,760,5.7894735
358UP,KAMPR Kambalipura,MYSSDR Mayasandra,2,20,10.0,1,1,100.0
328-EUP,KRM4 KR Market,VRTGTC Varthuru Govt College,19,23,82.608696,91,1761,5.1675186
223-DDN,SNH3 Sonnenahalli,KMT1 KR Market (Kalasipalya),15,16,93.75,888,7188,12.353923
235-BUP,VJN Vijayanagara,MDLPLYA Moodalapalya,5,19,26.31579,85,600,14.166667
282-GUP,KBS1 Kempegowda Bus Station,BRP Byatarayanapura (Towards Yalahanka),7,13,53.846157,51,578,8.823529
258-YADN,JHC3 Jalahalli Cross,KBS123 Kempegowda Bus Station,7,16,43.75,7,54,12.962963
MSP-YTTMCDN,MSPY1 MS Palya,YTTMC1 Yashawanthapura TTMC,4,4,100.0,10,27,37.037037
GAR-KBSDN,LKPC1 Lakshmipura Cross,BELCRL BEL Circle (Towards Mathikere),5,11,45.454548,27,200,13.500001
V-500DHDN,CLA Bellanduru,MTDB Marathahalli Bridge,3,21,14.285715,37,212,17.45283
KBS-NMG-GDPUP,NMG0 Nelamangala Bus Station,GNGRN1 Gangadarapalya,16,17,94.117645,3,4,75.0
320-CUP,KRPRLY Railway Station KR Puram,HODC2 Hoodi (Towards Hope Farm),4,12,33.333336,46,459,10.021787
302-DDN,AYPTPL1 Subbayanapalya,KRM4 KR Market,8,10,80.0,21,134,15.671642
231-JUP,KMT1 KR Market (Kalasipalya),NDH Nayandahalli,3,16,18.75,35,405,8.641975
500-CTUP,AGRA1 Jn of Agara,KDBH1 Kadabisanahalli,4,13,30.769232,60,618,9.708737
MTR-KBSUP,BPN Bapujinagara,KBS123 Kempegowda Bus Station,5,11,45.454548,86,343,25.072887
351-MUP,ELC3 Electronic City (Towards Attibele),HBGDI Hebbagodi,2,20,10.0,29,361,8.033241
353-ADN,KGATE Kudlu Gate,KMT1 KR Market (Kalasipalya),8,16,50.0,62,973,6.372045
BEML5-BEMLFUP,RRT1 RR Temple,KRMRKT KR Market,5,15,33.333336,54,698,7.736389
317YADN,BTH-1 Bhattarahalli,KRPM KR Puram Market,2,21,9.523809,39,598,6.521739
283-ADN,BRP1 Byatarayanapura (Towards Hebbala),KRM4 KR Market,10,15,66.66667,24,269,8.921933
305-AUP,PTAGC Pattandur Agrahara Gate,HOF Hope Farm (Towards Chikka Thirupathi),2,17,11.764706,79,1393,5.671213
285-EUP,KRM4 KR Market,NES NES Office,11,18,61.11111,63,976,6.454918
CHLS-KBSDN,KOTNR2 Kothanuru ,KCHK1 Kacharakanahalli,4,12,33.333336,41,567,7.2310405
256-MA VNC-TRHHUP,NCF1 Nelamangala Cement Factory,MDP1 Mahadevapura,4,5,80.0,1,3,33.333336
BSK-BNPUP,RGD Ragigudda Temple,HMGT Hulimavu Gate (Towards Meenakshi Temple),4,10,40.0,52,147,35.37415
402-AUP,KBS123 Kempegowda Bus Station,HBL Hebbala (Towards Yalahanka),5,14,35.714287,40,703,5.6899004
245-NDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,13,15.384616,30,210,14.285715
25-HUP,MHC Maharanis College,NSPL-1 NS Palya,9,9,100.0,1,5,20.0
342-NDN,DKKSJP Doddakannalli,AGRA Agara (Towards Hebbala),4,16,25.0,50,1135,4.4052863
ASNR-KBS 335DN,ASTNG Ashwath Nagara (Towards Marathhalli Bridge),KBS123 Kempegowda Bus Station,9,9,100.0,9,47,19.148937
PFAM-SBSDN,HALMG-1 HAL Main Gate (Towards Murugeshpalya),SBS1 Shivajinagara Bus Station,6,9,66.66667,11,107,10.280374
KBS-MRS 253JUP,JHC Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),2,9,22.222223,19,42,45.238094
KHC-SWK-NMGUP,JHC Jalahalli Cross,MF Marison Factory,3,16,18.75,19,188,10.106383
TPR-SBS 228EDN,KGLH2 K Gollahalli,KMBLGD3 Kumbalagodu,3,16,18.75,55,514,10.700389
ATB-D38UP,ATB0 Attibele Bus Stand,YDVNHL Yadavanahalli,2,9,22.222223,18,147,12.244898
KMT-JNNUP,KRMT1 KR Market,JBS4th Jayanagara 4th Block,4,6,66.66667,31,52,59.615387
BTP-ITPLUP,BAGMTECH Bagmane Tech Park,ITL ITPL,9,9,100.0,52,219,23.744293
KBS-TRPDN,BMH2 Bommanahalli (Towards Electronic City),KDG Kudlu Gate,3,13,23.076923,4,19,21.052631
PSB-KTP-KBSDN,HGHMD1 Hegganahalli (Towards Sunkadakatte),KBS123 Kempegowda Bus Station,8,11,72.72727,38,123,30.89431
278-KDN,NGSH Nagashettyhalli,SBS1 Shivajinagara Bus Station,6,6,100.0,201,889,22.609673
223-DUP,KMT1 KR Market (Kalasipalya),SNH2 Sonnenahalli,11,13,84.61539,1079,6236,17.302757
293-MDN,HNRCRS Hennur Cross (Towards Lingarajapura),KRM4 KR Market,12,18,66.66667,25,283,8.833922
299UP,KBS1 Kempegowda Bus Station,YHKSC1 Yelahanka Santhe Circle,9,16,56.25,64,713,8.976157
242-RAUP,KMT1 KR Market (Kalasipalya),MGDTG Magadi Road TollGate ,4,18,22.222223,76,1034,7.3500967
401-JCDN,NES NES Office,ATL1 Atturu Layout,3,17,17.647058,30,480,6.25
238DN,MDLPA Moodalapalya,KBS1 Kempegowda Bus Station,5,7,71.42857,471,2373,19.848293
ELC-D34 GateDN,ELC2 Electronic City 378 ,WPRGT1 Wipro Gate Shikaripalya Cross,2,10,20.0,50,110,45.454548
SVG-ARC-PSSUP,JPA11 Janapriya Apartment,JHC4 Jalahalli Cross,3,4,75.0,4,7,57.14286
BEL-HSKUP,tinf Tin Factory,KRPM-1 KR Puram Market,2,17,11.764706,42,339,12.38938
KGD-ITPL-SBSDN,GRPIN Graphite India (Towards Kundalahalli Colony),MRHLLI Marathahalli,3,16,18.75,25,438,5.7077622
211-EDN,RGHL1 Raghuvanahalli Cross,BSKTTMC1 Banashankari TTMC,5,19,26.31579,51,730,6.9863014
504-EUP,MPH NAL Manipal Hospital ,KUDGT Kundalahalli Gate,5,10,50.0,49,544,9.007353
ORRCAQ-KBSDN,MTHB Marathahalli Bridge,KBS123 Kempegowda Bus Station,10,11,90.909096,4,26,15.384616
344-AUP,KMT1 KR Market (Kalasipalya),HNSRA Hongasandra,10,21,47.61905,179,2394,7.4770255
V-360BUP,KBS1 Kempegowda Bus Station,BMH2 Bommanahalli (Towards Electronic City),13,30,43.333332,868,8437,10.288017
141-EUP,EJPR Ejipura,MYH1 Mayohall,6,9,66.66667,171,1001,17.082918
252-HUP,KBS1 Kempegowda Bus Station,LGR Laggere New Bus Stand,8,8,100.0,446,2465,18.093306
305-RUP,HOF Hope Farm (Towards Chikka Thirupathi),CNS Channasandra (Towards Chikka Thirupathi),2,20,10.0,91,1157,7.865169
HSK-J APCDN,HBGDI Hebbagodi,JOSRMPUR Rupesh Hotel,4,9,44.444447,39,205,19.02439
375-JDN,KGR2 Kengeri TTMC,BSKTTMC1 Banashankari TTMC,10,21,47.61905,101,1374,7.350801
291-HUP,KBS1 Kempegowda Bus Station,TLBSD Thanisandra,8,9,88.88889,55,511,10.763209
ELCW-BMT19DN,ELCWG ELC Wipro Gate,ELC3 Electronic City (Towards Attibele),2,2,100.0,10,10,100.0
GDWC-BMTCUP,RMDC Richmond Circle,SNTTMC Shanthinagara TTMC,2,3,66.66667,1,1,100.0
RMH-CPRDN,MARGT Marsuru Gate,CPR0 Chandapura (Towards Electronic City),3,11,27.272728,43,228,18.85965
HNC-OASISUP,GDLH Geddalahalli (Towards Byrathi Bande),KOTNR Kothanuru ,2,5,40.0,4,13,30.769232
250-DDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC3 Jalahalli Cross,3,12,25.0,318,2865,11.099477
ATB-SMH 600FDDN,BMH4 Bommanahalli (Towards St Johns),BSK Banashankari Bus Station (Towards Kadirenahalli),4,10,40.0,6,53,11.320755
D34 Gate-BNPUP,BNRCL2 Bannerughatta Circle (Towards Bannerughatta National Park),BNPK1 Bannerughatta National Park,2,6,33.333336,13,44,29.545454
EJP-GNRUP,SBS1 Shivajinagara Bus Station,RTNPS2 Police Station RT Nagara ,8,10,80.0,6,19,31.578945
BDD-GBHSUP,KBG2 Kumbalagodu,JOKMGT Jn of Kommaghatta,2,5,40.0,24,32,75.0
KBS-PMHUP,KBS1 Kempegowda Bus Station,KGR2 Kengeri TTMC,7,14,50.0,34,301,11.295681
KMT-HGVUP,KRM4 KR Market,MTKR Mattikere,7,20,35.0,104,1128,9.219858
KDG-BTPDN,ITPL ITPL,BGH Benniganahalli,5,5,100.0,6,8,75.0
JPV-18UP,KBS1 Kempegowda Bus Station,JYNGR9B 9th Block Jayanagara (40th Cross),7,7,100.0,55,156,35.25641
258-EDN,NMG0 Nelamangala Bus Station,JHC3 Jalahalli Cross,7,9,77.77778,4,27,14.814815
KMT-BSK-KKC-D34UP,KKC Konanakunte Cross,KNC Hari Nagara Cross,2,6,33.333336,6,30,20.0
224DAUP,KGR2 Kengeri TTMC,DPL0 Doddypalya,5,11,45.454548,88,742,11.859838
241-EDN,MGDTLG Magadi Road TollGate ,KMT1 KR Market (Kalasipalya),4,11,36.363636,25,268,9.328358
290-NUP,NGW Nagavara,TLBSD Thanisandra,2,8,25.0,46,256,17.96875
BSK-BSK3RD UP,KDHPRK Kadirenahalli Park,KTPR Kathriguppe,2,2,100.0,1,1,100.0
V-500KMUP,AECSL-1 AECS Layout Cross,SJRHS Sathya Sai Hospital,3,18,16.666668,44,635,6.929134
222-KDN,BPN Bapujinagara,KRMRKT KR Market,3,14,21.428572,172,1963,8.762099
287-JDN,VNH1 Vishwanath Nagenahalli,HBL1 Hebbala (Towards RM Guttahalli),2,6,33.333336,10,33,30.303032
95-B SNB-YTTMCDN,MDHOS Modi Hospital,YTTMC1 Yashawanthapura TTMC,4,6,66.66667,13,64,20.3125
D06-DMRUP,KFCIPDR Police Station Indiranagara,DPOHLI Dhoopanahalli,2,3,66.66667,8,8,100.0
BMT13-KDGUP,AECSL-1 AECS Layout Cross,SJRHS Sathya Sai Hospital,3,19,15.789473,106,1075,9.860465
401MDUP,YTTMC Yashawanthapura TTMC,KTP Kottigepalya,6,11,54.545456,23,274,8.394161
273-HDN,MTKR1 Mattikere,KBS123 Kempegowda Bus Station,6,8,75.0,89,440,20.227272
SJH-SRN UP,BLPR1 Billapura,ATBCR1 Attibele Circle (Towards Attibele Bus Stand),4,11,36.363636,8,8,100.0
323-BDN,HALMG-1 HAL Main Gate (Towards Murugeshpalya),KRM4 KR Market,8,17,47.058823,42,774,5.426357
SMPBS-MRHUP,RGD Ragigudda Temple,MTDB Marathahalli Bridge,8,8,100.0,3,19,15.789473
KDLU-ITPLUP,CLA Bellanduru,MTDB Marathahalli Bridge,3,6,50.0,15,34,44.11765
317-RDN,KRPM KR Puram Market,KRM4 KR Market,9,14,64.28571,6,101,5.940594
SVP-KMT 258FDN,MRSNF Marison Factory,KRM4 KR Market,11,15,73.333336,8,66,12.121212
298-PDN,SLB1 Sulibele,DHN Devanahalli New Bus Station,17,18,94.44444,556,1384,40.173412
228-GUP,KMBLGD2 Kumbalagodu,TGCKP1 Thagachaguppe,2,13,15.384616,39,289,13.494809
BEML Gate TPS-ELCUP,HOSRD Hosa Road (Towards Electronic City),KNPA Konappana Agarhara,2,14,14.285715,18,115,15.652174
SBS-BMTC COUP,SBS0 Shivajinagara Bus Station,SNTTMC Shanthinagara TTMC,4,4,100.0,14,34,41.17647
507-PSDN,JHC1 Jalahalli Cross,KMGH Kammagondanahalli Bridge,2,22,9.090909,295,2265,13.024282
KGR-GKWLUP,ATGP Attiguppe (Towards Vijayanagara),GKW GKW Layout,2,4,50.0,2,3,66.66667
271-CUP,GMGC2 Gangamma Circle (Towards MS Palya),KVMP Kuvempunagara,2,10,20.0,93,1210,7.6859503
HSS-BSKDN,RGGD Ragigudda Temple,BSKTTMC0 Banashankari TTMC,2,11,18.181818,19,256,7.421875
HPP-Wonderla-KBSUP,KGR1 Kengeri TTMC,KBS123 Kempegowda Bus Station,8,16,50.0,39,347,11.239193
SRP-PTHDN,SRMPR Sri Ramapura,ALSGT Allalasandra Gate (Towards Yalahanka),2,3,66.66667,1,2,50.0
331UP,MPH NAL Manipal Hospital ,KDLGTE Kundalahalli Gate,5,14,35.714287,87,1373,6.336489
HBL-VSD-SBSUP,NGSH Nagashettyhalli,ASWN1 Ashwath Nagara (Towards Gangenahalli),2,8,25.0,15,115,13.043478
K-5DN,JOKSW Sony World 80ft Road  Koramangala,KBS1 Kempegowda Bus Station,11,26,42.307693,94,1053,8.926876
327-KDN,KDTGT1 Kodathi Gate,DKKSJP Doddakannalli,3,6,50.0,11,15,73.333336
CLO-BSKUP,PESC2 PES College ,BSKTTMC1 Banashankari TTMC,4,4,100.0,5,15,33.333336
346-FDN,BMH4 Bommanahalli (Towards St Johns),MDWL1 Madivala,5,11,45.454548,14,106,13.207547
KIAS-8EWUP,CLA Bellanduru,KIAS Kempegowda International Airport,16,25,64.0,7,135,5.185185
285-VUP,RJNKT2 Rajanukunte,SBHL Shanubhoganahalli,3,19,15.789473,46,524,8.7786255
319-EUP,BGH-1 Benniganahalli,GRDP Garudacharpalya,4,8,50.0,10,48,20.833332
502-ADN,RLIPB1 Reliance Petrol Bunk Goraguntepalya,KRPRLY Railway Station KR Puram,12,28,42.857143,77,1851,4.1599135
380DN,KRPM KR Puram Market,TIF Tin Factory,2,16,12.5,40,381,10.498688
V-195UP,SBS0 Shivajinagara Bus Station,KBS1 Kempegowda Bus Station,3,3,100.0,28,28,100.0
226-TDN,BPN Bapujinagara,KMT1 KR Market (Kalasipalya),3,17,17.647058,65,1217,5.3410025
KBS-MEBPUP,SVNDS Shivananda Store,HBL Hebbala (Towards Yalahanka),2,3,66.66667,4,6,66.66667
328-HDDN,ATBCR11 Attibele Circle,KEB-1 Hoskote KEB Circle (Towards KR Puram),31,40,77.5,38,570,6.666667
265-BDN,HGHMD1 Hegganahalli (Towards Sunkadakatte),KBS123 Kempegowda Bus Station,9,10,90.0,132,935,14.117648
226-CDN,BPN Bapujinagara,KMT1 KR Market (Kalasipalya),3,16,18.75,87,1381,6.2997828
CDC-KBS 227RCDN,KGR1 Kengeri TTMC,RVCL RV College,2,17,11.764706,23,306,7.5163403
293-L YPB-KLNDN,KOTNR2 Kothanuru ,KLNB Kalyananagara Bus Stand,4,6,66.66667,8,53,15.094339
MNH-HBLUP,GGPLY Goraguntepalya (Towards BEL Circle),GGPLY Goraguntepalya (Towards BEL Circle),1,2,50.0,0,0,0.0
114-EDN,INDEXP1 Indian Express,Corpo Corporation (Towards KR Market),7,8,87.5,6,16,37.5
VJN-MRNB-60ADN,BPN Bapujinagara,BSGDY Basavanagudi Police Station,4,9,44.444447,55,518,10.617761
311EUP,SBS0 Shivajinagara Bus Station,HLS1 Halasuru,3,8,37.5,45,342,13.157895
300-PDN,KLKR Kalkere Cross,RMNRR B Channasandra Bridge,2,10,20.0,65,629,10.333863
140UP,NCBS Nanjappa Circle,KRMC1 KR Market,3,5,60.000004,186,1103,16.8631
VSDAGS-PSSUP,RMCY RMC Yard (Yashawanthapura New Railway Station),PSS Peenya 2nd Stage,8,8,100.0,11,62,17.741936
121-BDN,KRMRKT KR Market,SBS1 Shivajinagara Bus Station,4,5,80.0,37,91,40.65934
215-ABUP,BSKTTMC1 Banashankari TTMC,KKC Konanakunte Cross,3,5,60.000004,215,904,23.783186
371AUP,BNGC Bannerughatta Circle (Towards Kaggalipura),KGLPRBNP Kaggalipura,6,16,37.5,65,765,8.496733
317GDN,KRPM KR Puram Market,TIF Tin Factory,4,17,23.529411,325,4402,7.3830075
GKVK-KHBDN,MODIH Modi Hospital,HVNRCR1 Havanur Circle (Towards KHB Colony),12,14,85.71429,13,26,50.0
JHC-KSPUP,JHC4 Jalahalli Cross,KMKP Kamakshipalya,7,11,63.636364,19,229,8.296944
D 34-KRMUP,PTH2 Puttenahalli,JTTMC Jayanagara TTMC,4,8,50.0,14,85,16.470589
5F-1UP,WEVRCL Weavers Colony,BTND Byatarayana Doddy,3,4,75.0,3,4,75.0
MTGH-PTHDN,DBYK Dodda Byalakere,YST Yelahanka Satellite Town,6,7,85.71429,2,12,16.666668
201-LDN,BOPBSTP Dhoopanahalli,KFCPS3 Police Station Indiranagara,2,19,10.526316,37,815,4.539877
18UP,KBS1 Kempegowda Bus Station,MRNB Marenahalli Bus Stand,10,10,100.0,1151,4829,23.835163
V-335MGUP,ISH Isolation Hospital,ITL ITPL,8,15,53.333336,91,351,25.925926
CLO-BMBS 244AUP,CLO Chandra Layout,NGRCL Nagarabhavi Circle,2,2,100.0,1,1,100.0
SBS-D16UP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,6,66.66667,27,65,41.538464
502-FAUP,MRSNF Marison Factory,JHC4 Jalahalli Cross,3,30,10.0,211,3483,6.057996
BSN-KBS-88ADN,SHL4 Shivanahalli 4th Main,KBS123 Kempegowda Bus Station,3,4,75.0,209,398,52.51256
RJF-MYHUP,HRSDG Harishchandra Ghat,MC Manipal Centre MG Road,5,6,83.33333,8,36,22.222223
328-EDN,KDGATE Kundalahalli Gate,KRM4 KR Market,13,19,68.42105,70,1436,4.874652
333-LUP,MRH Marathahalli ,VRTKD1 Varthur kodi,4,22,18.181818,77,1600,4.8125
PSS-GLBUP,JHC1 Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),3,7,42.857143,30,69,43.47826
223LDN,MRPLYA Mariyappanapalya,KMT1 KR Market (Kalasipalya),7,8,87.5,188,1046,17.97323
RTNPS-HBL BELUP,RTN12 Police Station RT Nagara ,HBLB1 Hebbala Bridge (Towards BEL Circle),2,2,100.0,1,1,100.0
282-GDN,HBL1 Hebbala (Towards RM Guttahalli),KBS1 Kempegowda Bus Station,6,14,42.857143,89,926,9.611231
MYH-SNRDN,BTM16th 16th Main BTM Layout ,BSKTTMC0 Banashankari TTMC,3,10,30.000002,22,161,13.664596
PPLO-KMLUP,VSPL Vasanthapura,KML3 Kumaraswamy Layout,2,2,100.0,1,1,100.0
288-CUP,KRM4 KR Market,HBL Hebbala (Towards Yalahanka),7,10,70.0,70,567,12.345679
227-VBUP,KMT1 KR Market (Kalasipalya),KGR2 Kengeri TTMC,6,17,35.294117,49,808,6.0643563
242-PDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,16,12.5,34,581,5.8519793
NMG-YPR-BELFDN,NMG0 Nelamangala Bus Station,JHC3 Jalahalli Cross,13,18,72.22222,18,132,13.636364
332DN,VRTKD2 Varthur Kodi,MRHLLI Marathahalli,4,16,25.0,86,1450,5.931034
314-CDN,BEMLG1 BEML Gate (Towards HAL),KFCPS3 Police Station Indiranagara,3,11,27.272728,25,189,13.227513
MTR-KMTDN,NDH1 Nayandahalli,KMT5 KR Market,4,7,57.14286,38,143,26.573425
242MUP,KHB KHB Colony,BDH2 Byadarahalli (Towards Gollarahatti),3,11,27.272728,3,9,33.333336
D21G-KML 15EUP,CHNU Channasandra (Towards Uttarahalli),UTH Uttarahalli,2,5,40.0,10,24,41.666664
245-MAUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,15,13.333334,34,333,10.21021
BRC-VSD-KBSDN,BRNBJ Byrasandra New Bus Stand,CRPN Corporation (Towards Cauvery Bhavan),4,6,66.66667,14,68,20.588236
CAPGR-KBS 181DN,GDRP Garudacharpalya,BGH Benniganahalli,4,10,40.0,18,165,10.909091
306-LUP,HOF Hope Farm (Towards Chikka Thirupathi),CNS Channasandra (Towards Chikka Thirupathi),2,18,11.111112,44,557,7.8994617
BTM-BSKDN,JDVHS1 Jayadeva Hospital,BSKTTMC0 Banashankari TTMC,3,3,100.0,37,41,90.2439
